
Topic 1:interest 0.59 | rates 0.59 | rate 0.55 | billion 0.48 | percent 0.47 | institutions 0.46 | ls 0.4 | bank 0.38 | loans 0.37 | government 0.36 | higher 0.35 | economy 0.34 | thatcher 0.33 | board 0.32 | home 0.31 | industry 0.31 | lawson 0.31 | today 0.3 | august 0.3 | party 0.29 | loan 0.29 | annual 0.28 | insolvent 0.28 | million 0.28 | capital 0.28 | thrifts 0.27 | new 0.27 | fed 0.27 | five 0.26 | conference 0.26 | 
Topic 2:billion 701.4 | new 684.17 | prime 586.27 | government 583.27 | party 556.56 | percent 521.07 | bush 510.67 | minister 484.91 | bank 428.98 | president 424.86 | years 424.07 | debt 406.63 | world 390.44 | banks 355.76 | million 347.21 | people 343.67 | house 342.05 | two 313.84 | loans 308.22 | plan 307.63 | time 280.94 | thatcher 276.93 | rate 273.76 | tax 272.37 | money 270.78 | insurance 268.44 | states 267.11 | loan 256.89 | federal 253.6 | administration 250.78 | 
Topic 3:rates 1.41 | thrifts 0.84 | interest 0.7 | percent 0.68 | federal 0.64 | rate 0.62 | higher 0.55 | billion 0.55 | deposits 0.52 | south 0.48 | rise 0.45 | africa 0.44 | new 0.44 | prices 0.44 | bank 0.43 | government 0.41 | commonwealth 0.4 | board 0.4 | yen 0.4 | banks 0.39 | president 0.37 | 10 0.36 | loan 0.36 | raise 0.36 | loans 0.35 | money 0.35 | savings 0.34 | institutions 0.33 | september 0.33 | deposit 0.33 | 
Topic 4:interest 0.95 | fed 0.9 | rates 0.9 | percent 0.59 | budget 0.57 | economy 0.56 | inflation 0.49 | darman 0.47 | rate 0.45 | administration 0.43 | bank 0.41 | billion 0.41 | bush 0.41 | president 0.4 | growth 0.4 | federal 0.39 | deficit 0.39 | time 0.38 | nbc 0.38 | reserve 0.38 | percentage 0.36 | economic 0.35 | higher 0.35 | congress 0.34 | late 0.34 | south 0.33 | years 0.33 | cbs 0.32 | central 0.32 | banks 0.32 | 
Topic 5:percent 0.86 | scandal 0.57 | takeshita 0.57 | prime 0.56 | prices 0.55 | recruit 0.54 | inflation 0.52 | rate 0.48 | government 0.47 | minister 0.47 | analysts 0.47 | japan 0.46 | rates 0.44 | party 0.44 | yen 0.43 | join 0.41 | dollar 0.41 | ems 0.41 | million 0.39 | lower 0.39 | interest 0.39 | stock 0.38 | liberal 0.38 | exchange 0.38 | higher 0.37 | time 0.37 | resign 0.36 | reserve 0.36 | june 0.35 | index 0.35 | 
Topic 6:shearson 5.44 | palmeri 4.8 | brokerages 1.53 | stock 0.98 | disease 0.85 | ensnared 0.77 | unlawful 0.76 | heart 0.76 | arkin 0.76 | unauthorized 0.76 | plea 0.75 | cooperating 0.74 | subpoenas 0.73 | pocketing 0.73 | supervised 0.72 | spun 0.7 | junk 0.7 | relating 0.69 | corley 0.66 | market 0.65 | rate 0.61 | campeau 0.59 | major 0.59 | speculator 0.58 | 000 0.57 | new 0.55 | deaths 0.51 | bonds 0.51 | censured 0.51 | price 0.5 | 
Topic 7:bank 1.89 | rates 1.64 | interest 1.32 | fed 1.3 | rate 1.17 | percent 1.16 | central 0.9 | darman 0.85 | economists 0.82 | loans 0.76 | bush 0.76 | recession 0.73 | billion 0.72 | economic 0.69 | friday 0.69 | federal 0.68 | deficit 0.68 | lower 0.67 | inflation 0.63 | president 0.63 | june 0.62 | china 0.62 | world 0.61 | reserve 0.6 | new 0.55 | economy 0.55 | country 0.55 | economist 0.53 | trade 0.52 | recent 0.51 | 
Topic 8:karpov 4.3 | yusupov 2.18 | percent 2.12 | rate 2.0 | bush 1.05 | semifinal 1.0 | prime 0.86 | rates 0.83 | interest 0.82 | growth 0.78 | positional 0.77 | memory 0.75 | gennady 0.75 | tax 0.72 | semifinalists 0.71 | stock 0.69 | faulty 0.68 | sosonko 0.68 | two 0.68 | lapse 0.68 | enduring 0.68 | president 0.67 | godlike 0.67 | years 0.66 | bravo 0.66 | emigrated 0.65 | jonathan 0.65 | penetration 0.65 | commentators 0.64 | bank 0.63 | 
Topic 9:dollar 733.36 | yen 573.03 | late 395.15 | bank 276.91 | new 269.03 | rates 268.53 | york 252.94 | trading 248.37 | london 235.88 | ounce 210.66 | west 205.05 | gold 200.54 | exchange 188.04 | bid 176.45 | market 173.81 | currency 170.11 | tokyo 165.82 | interest 164.07 | wednesday 162.52 | rate 157.23 | pound 155.97 | german 152.18 | friday 147.09 | japan 145.37 | francs 143.3 | japanese 137.32 | monday 135.99 | troy 133.7 | thursday 133.14 | fell 131.79 | 
Topic 10:show 1.33 | fox 1.32 | chernin 0.95 | networks 0.84 | time 0.82 | night 0.79 | ratings 0.7 | network 0.69 | shows 0.66 | monday 0.64 | television 0.61 | two 0.6 | programming 0.59 | new 0.52 | percent 0.49 | rating 0.49 | stations 0.49 | co 0.47 | ve 0.47 | nbc 0.47 | begin 0.44 | cbs 0.44 | children 0.44 | prime 0.43 | movie 0.43 | abc 0.43 | audience 0.41 | bundy 0.41 | sunday 0.4 | broadcasting 0.39 | 
Topic 11:minkow 2.52 | kosovo 1.71 | leningrad 1.44 | percent 1.4 | poo 1.36 | tevrizian 1.3 | solovyev 1.3 | ueberroth 1.3 | gesell 1.3 | shelter 1.27 | rates 1.22 | bank 1.12 | rate 1.11 | banks 0.99 | prime 0.96 | manual 0.95 | new 0.93 | sentence 0.93 | bush 0.93 | government 0.79 | dollar 0.79 | voluminous 0.78 | succinct 0.76 | federal 0.75 | reagan 0.75 | budget 0.75 | serbia 0.74 | monday 0.74 | meese 0.74 | dickran 0.74 | 
