
Topic 1:azt 11.76 | pediatric 3.72 | wiznia 2.21 | rubinstein 1.94 | jaba 1.86 | prescribe 1.5 | bronx 1.48 | alawneh 1.17 | connor 1.01 | taysir 0.94 | 7337 0.79 | flavored 0.78 | 829 0.77 | religiously 0.77 | prophylactic 0.77 | ayre 0.76 | encephalopathy 0.75 | einstein 0.74 | strawberry 0.71 | swallow 0.63 | progressive 0.6 | edt 0.59 | newark 0.58 | wellcome 0.58 | syrup 0.57 | anecdotal 0.56 | burroughs 0.56 | 637 0.54 | stonethrowing 0.54 | enroll 0.51 | 
Topic 2:oshima 2.73 | mihara 1.2 | volcanos 0.71 | ando 0.71 | kunio 0.71 | sturdiest 0.68 | forged 0.67 | fasionable 0.66 | leather 0.66 | yoshida 0.65 | sighs 0.62 | volcanically 0.62 | taiji 0.59 | dared 0.44 | caldera 0.38 | quayle 0.27 | flats 0.26 | hiked 0.26 | rope 0.2 | flood 0.18 | service 0.18 | illiteracy 0.18 | patients 0.17 | friday 0.17 | tread 0.17 | texas 0.16 | rain 0.16 | inches 0.16 | weather 0.16 | tokyo 0.16 | 
Topic 3:people 677.62 | two 564.03 | percent 541.29 | new 537.9 | 000 498.01 | years 455.39 | million 429.44 | killed 394.01 | government 394.0 | police 384.03 | president 382.48 | least 366.57 | bush 362.56 | states 336.8 | report 322.48 | officials 319.72 | time 304.65 | weather 299.74 | three 299.1 | national 275.94 | soviet 275.88 | state 271.39 | say 270.59 | united 268.65 | told 267.35 | army 257.54 | cause 255.56 | 1988 255.48 | death 251.28 | events 246.51 | 
Topic 4:fair 665.45 | cloudy 426.46 | partly 169.76 | foggy 163.89 | today 58.28 | windy 54.82 | san 42.78 | city 40.59 | parade 34.76 | toronto 30.93 | portland 30.12 | 57 27.35 | 63 27.26 | 55 26.28 | medford 24.1 | 64 24.04 | 59 23.25 | ottawa 23.19 | regina 23.11 | honolulu 22.92 | winnipeg 22.44 | calgary 22.29 | platte 22.05 | _international 21.97 | pendleton 21.55 | st 21.46 | antonio 21.29 | 54 21.2 | 50 21.02 | chattanooga 20.75 | 
Topic 5:schnittman 7.45 | missiles 5.54 | pershing 5.1 | pcr 4.51 | virus 3.9 | t4 3.77 | longhorn 3.67 | aids 3.61 | destruction 2.99 | cells 2.7 | 1a 2.22 | hiv 1.69 | lymphocyte 1.56 | monocyte 1.56 | lymphocytes 1.54 | warheads 1.53 | renders 1.52 | intermediate 1.47 | immunity 1.25 | cell 1.22 | infected 1.21 | treaty 1.08 | infect 1.06 | infection 0.99 | miltiades 0.83 | macrophages 0.83 | 193 0.82 | 468 0.82 | macrophage 0.82 | trojan 0.82 | 
Topic 6:computers 12.61 | morris 10.54 | cornell 6.07 | computer 5.67 | indictment 5.01 | guidoboni 3.98 | authorization 3.24 | accessing 2.43 | arpanet 1.67 | accusation 1.65 | patterson 1.65 | indicted 1.63 | tappan 1.63 | lafayette 1.62 | accessed 1.62 | purdue 1.62 | moffett 1.61 | guity 1.6 | transmit 1.59 | worm 1.49 | vindication 1.45 | paralyzed 1.37 | logistics 1.35 | accepts 1.34 | graduate 1.32 | syracuse 1.26 | universities 1.18 | dayton 1.04 | restitution 1.03 | files 1.01 | 
Topic 7:acres 2.93 | industrial 2.29 | _new 2.1 | federally 2.05 | private 1.47 | owned 1.42 | _total 1.42 | _maine 1.42 | _vermont 1.4 | parcels 0.76 | 000 0.65 | million 0.57 | lands 0.38 | land 0.37 | hampshire 0.36 | weather 0.29 | new 0.27 | large 0.27 | york 0.25 | non 0.25 | cents 0.25 | state 0.24 | defined 0.24 | earthquake 0.22 | parade 0.22 | higher 0.21 | county 0.19 | killed 0.19 | aid 0.19 | israeli 0.19 | 
Topic 8:marts 15.91 | meara 6.69 | micek 3.78 | patterson 3.61 | gillon 3.12 | detective 2.79 | swim 2.56 | wodnicki 1.61 | detectives 1.54 | arson 1.53 | setting 1.48 | swims 1.47 | krajewska 1.46 | yi 1.43 | paraplegic 1.13 | swam 1.06 | popping 0.97 | clicked 0.93 | garbage 0.8 | demoralized 0.79 | gris 0.79 | handicapped 0.78 | weightlifting 0.78 | defected 0.78 | pyromania 0.77 | otsego 0.77 | paraplegics 0.77 | authenticates 0.77 | lucyna 0.77 | shaving 0.76 | 
Topic 9:1990s 1.15 | chip 1.1 | hinge 0.77 | lightweight 0.76 | superconducters 0.73 | galaxies 0.73 | supercomputers 0.72 | jeweled 0.71 | cornish 0.71 | new 0.71 | integrating 0.7 | composites 0.68 | ceramics 0.67 | genome 0.67 | spectaculars 0.65 | mathematics 0.65 | mathematical 0.63 | 2002 0.61 | teamed 0.6 | heterosexuals 0.6 | hubble 0.59 | weightlessness 0.58 | gadgets 0.54 | modeling 0.54 | progression 0.53 | degrees 0.44 | storm 0.43 | weather 0.4 | north 0.39 | island 0.39 | 
Topic 10:cbs 127.13 | nbc 113.45 | special 112.6 | series 107.23 | abc 76.22 | miniseries 59.43 | music 58.91 | pbs 46.85 | awards 40.95 | events 40.07 | annual 37.05 | award 35.43 | show 35.16 | sound 32.62 | dance 32.49 | part 32.27 | direction 32.2 | program 31.98 | drama 31.85 | programming 29.71 | dove 29.31 | lonesome 28.69 | camera 26.23 | performances 24.92 | syndicated 24.47 | america 24.32 | comedy 24.17 | given 23.59 | mixing 23.46 | arts 22.49 | 
Topic 11:azt 0.34 | children 0.26 | aids 0.25 | thursday 0.19 | pediatric 0.19 | drug 0.19 | new 0.16 | disease 0.16 | storm 0.15 | don 0.15 | dr 0.15 | evidence 0.14 | national 0.14 | 13 0.14 | hospital 0.14 | hugo 0.14 | rubinstein 0.14 | people 0.14 | effects 0.14 | wiznia 0.13 | small 0.13 | island 0.13 | adults 0.13 | weather 0.13 | damage 0.13 | plane 0.13 | coast 0.13 | hurricane 0.13 | thunderstorms 0.13 | foot 0.13 | 
