
Topic 1:gance 7.12 | jack 4.58 | character 3.01 | illinois 1.97 | book 1.87 | novel 1.61 | examines 1.54 | loyalty 1.23 | books 1.2 | politics 0.95 | propels 0.86 | readership 0.85 | enhances 0.85 | gestation 0.83 | workaholic 0.83 | acclaim 0.83 | 12th 0.83 | intrigue 0.82 | attractions 0.82 | symmetrical 0.82 | explores 0.81 | waking 0.81 | cafe 0.8 | deciphering 0.8 | locale 0.79 | developer 0.79 | accumen 0.79 | fun 0.79 | appalling 0.77 | government 0.74 | 
Topic 2:military 0.93 | pupil 0.84 | plaintively 0.82 | extemporaneuosly 0.8 | ordinarily 0.8 | stared 0.78 | uncompromising 0.78 | crisp 0.77 | aquino 0.72 | government 0.59 | monotone 0.57 | desperation 0.57 | errant 0.57 | lecturing 0.55 | exuded 0.53 | strain 0.53 | el 0.52 | reads 0.52 | president 0.52 | rebels 0.47 | 000 0.39 | two 0.38 | gravest 0.36 | mahdi 0.35 | political 0.35 | prefers 0.35 | speeches 0.34 | coup 0.34 | army 0.34 | firmness 0.32 | 
Topic 3:military 0.4 | budget 0.27 | threat 0.25 | time 0.24 | nunn 0.24 | intelligence 0.23 | reduced 0.23 | forces 0.21 | nato 0.21 | elections 0.21 | rebels 0.21 | plant 0.21 | presidential 0.2 | cease 0.2 | warning 0.2 | tuesday 0.2 | spokesman 0.2 | congress 0.19 | guerrillas 0.19 | radio 0.19 | soviet 0.19 | wolfowitz 0.19 | san 0.19 | states 0.19 | defense 0.19 | duarte 0.19 | favored 0.19 | month 0.19 | process 0.18 | fire 0.18 | 
Topic 4:rawlings 7.82 | quarshigah 5.33 | summary 1.92 | quainoo 1.81 | aanaa 1.77 | plotter 1.46 | disrespect 0.94 | accra 0.94 | enin 0.93 | oracles 0.87 | flt 0.87 | domie 0.87 | disciplinary 0.87 | sablah 0.86 | kofi 0.86 | oracle 0.85 | noose 0.79 | soviet 0.74 | trace 0.72 | clothing 0.71 | east 0.61 | party 0.53 | jerry 0.53 | plot 0.53 | military 0.53 | ghana 0.52 | recruited 0.51 | simon 0.51 | newspapers 0.5 | consult 0.49 | 
Topic 5:music 15.03 | crowell 13.6 | martin 13.0 | portugal 12.52 | franklin 11.81 | turkish 11.54 | guitar 11.04 | cypriot 9.77 | mambo 9.7 | album 9.22 | company 8.29 | songs 8.13 | prado 7.75 | acoustic 6.97 | records 6.84 | fans 6.48 | industry 6.39 | gospel 5.96 | portuguese 5.87 | success 5.82 | genuine 5.77 | pierce 5.68 | singer 5.61 | miller 5.46 | aretha 5.22 | produced 5.16 | ford 5.09 | brand 5.03 | draft 4.97 | sweden 4.87 | 
Topic 6:greenpeace 9.46 | trident 5.58 | zodiacs 4.76 | submarine 4.26 | tennessee 3.09 | mv 2.97 | fagan 2.89 | burnette 2.85 | bacon 2.66 | seas 2.28 | diameter 2.02 | stacks 2.02 | usa 2.0 | rafts 1.97 | engines 1.96 | undersea 1.92 | ship 1.57 | grasp 1.55 | operational 1.3 | choppier 1.09 | beuatiful 1.09 | pontoons 1.08 | outmuscled 1.07 | inadequately 1.07 | sunk 1.07 | punctured 1.06 | tug 1.06 | bahouth 1.06 | miserable 1.05 | towing 1.05 | 
Topic 7:government 1.28 | military 0.78 | pinochet 0.66 | president 0.65 | aylwin 0.65 | new 0.64 | talks 0.55 | 000 0.54 | coup 0.54 | two 0.52 | political 0.5 | el 0.5 | contras 0.49 | people 0.48 | minister 0.48 | foreign 0.47 | forces 0.46 | soviet 0.46 | million 0.46 | contra 0.44 | old 0.44 | opposition 0.42 | official 0.42 | peace 0.41 | nicaragua 0.4 | power 0.4 | cease 0.4 | east 0.39 | mahdi 0.38 | percent 0.38 | 
Topic 8:military 0.39 | israel 0.38 | li 0.34 | african 0.33 | iran 0.33 | people 0.32 | government 0.32 | relations 0.32 | rebels 0.31 | war 0.31 | soviet 0.29 | countries 0.29 | communist 0.28 | beijing 0.27 | two 0.27 | china 0.26 | square 0.26 | cease 0.26 | fire 0.26 | party 0.25 | end 0.25 | contra 0.24 | chinese 0.24 | aid 0.24 | today 0.24 | rebel 0.24 | support 0.24 | sources 0.23 | gorbachev 0.23 | foreign 0.23 | 
Topic 9:wright 18.76 | phelan 14.02 | ethics 7.63 | panel 6.92 | buick 6.6 | reatta 5.85 | motions 5.07 | mallick 4.99 | convertible 4.89 | dixon 3.89 | mertz 3.0 | introduced 2.93 | homework 2.63 | transcripts 2.63 | gifts 2.63 | drilling 2.42 | distortion 2.36 | craig 2.36 | venture 2.14 | soft 1.98 | improperly 1.82 | speaker 1.8 | rules 1.73 | hardtop 1.59 | midsize 1.55 | centre 1.52 | coupes 1.49 | cars 1.47 | implicate 1.42 | craft 1.42 | 
Topic 10:poles 7.47 | poland 6.06 | polish 4.35 | legnica 3.35 | warsaw 3.03 | culture 2.28 | russian 2.24 | youth 2.18 | soviet 2.05 | unblemished 1.8 | quenched 1.78 | rakowski 1.78 | antagonism 1.77 | katyn 1.76 | shrill 1.76 | reburial 1.76 | mieczyslaw 1.76 | flirted 1.76 | warred 1.75 | indispenable 1.75 | deprecating 1.75 | diners 1.75 | vandalized 1.75 | fiats 1.74 | disdain 1.73 | antipathy 1.73 | polonezes 1.73 | waiter 1.73 | krakow 1.72 | esztergom 1.72 | 
Topic 11:military 3276.92 | government 3062.4 | president 2045.32 | noriega 1853.79 | coup 1835.65 | people 1398.03 | forces 1310.2 | united 1296.71 | states 1272.98 | panama 1246.23 | soviet 1197.65 | two 1179.37 | bush 1153.76 | country 1132.73 | army 1021.03 | rebels 966.09 | troops 929.81 | new 926.61 | political 896.72 | 000 868.16 | defense 863.53 | officials 856.95 | power 833.58 | party 828.91 | american 824.73 | years 780.97 | soldiers 774.47 | attempt 758.61 | war 723.52 | national 714.22 | 
Topic 12:nagy 8.15 | vitro 6.72 | bowdoin 3.79 | bilisoly 3.06 | fertilization 3.05 | institute 2.91 | jones 2.84 | reburial 2.8 | baby 2.7 | 1956 2.26 | conceived 2.19 | quadruplets 1.58 | petri 1.57 | dish 1.54 | smith 1.53 | morris 1.49 | eggs 1.49 | couples 1.48 | mecs 1.48 | coffins 1.47 | virginia 1.45 | unmarked 1.44 | graves 1.44 | pregnant 1.43 | ceremony 1.41 | reburied 1.39 | mourners 1.38 | foster 1.37 | imre 1.33 | couldn 1.31 | 
Topic 13:lockheed 9.88 | simmons 4.62 | esop 3.7 | burbank 3.66 | investor 2.67 | stock 2.12 | shares 2.07 | slayman 1.96 | buyout 1.96 | paccar 1.93 | phelps 1.91 | chrysler 1.87 | 225 1.76 | acres 1.74 | dodge 1.73 | employee 1.2 | corp 1.13 | marietta 1.07 | anaheim 1.05 | acreage 1.05 | canyon 1.05 | entitle 1.04 | metier 1.04 | calcomp 1.04 | speedup 1.04 | rye 1.03 | skunk 1.03 | palmdale 1.02 | cadam 1.02 | disney 1.02 | 
Topic 14:saleh 1.19 | military 1.04 | minister 1.01 | el 0.91 | sulaiman 0.86 | zobair 0.85 | yelker 0.84 | nataly 0.84 | serag 0.84 | niyal 0.83 | tayeb 0.83 | ambo 0.83 | underscretaries 0.82 | kenga 0.82 | ador 0.82 | aly 0.81 | sahloul 0.8 | doubles 0.8 | sayed 0.74 | alvarez 0.72 | cabinet 0.7 | government 0.65 | united 0.65 | coup 0.64 | faltering 0.63 | president 0.63 | panama 0.61 | bashir 0.6 | defense 0.59 | soldiers 0.59 | 
Topic 15:morses 10.76 | russell 7.67 | morse 6.79 | yantai 6.16 | missionaries 5.46 | tibet 4.46 | trees 3.56 | housing 3.21 | gertrude 2.99 | lisu 2.99 | downed 2.96 | tribes 2.37 | missionary 2.32 | tribe 2.12 | putao 2.05 | tribespeople 1.95 | rent 1.91 | pocket 1.88 | diseases 1.64 | languages 1.55 | yu 1.39 | yuan 1.26 | buddhist 1.21 | crusoe 1.13 | prays 1.11 | bathrooms 1.1 | papa 1.1 | midwestern 1.1 | sanitation 1.09 | spouses 1.09 | 
Topic 16:census 8.77 | aliens 7.33 | ridge 2.8 | gomes 2.33 | dymally 2.21 | undocumented 1.95 | guinea 1.82 | drug 1.44 | galan 1.25 | portuguese 1.19 | valentine 1.17 | bissau 1.17 | illegal 1.11 | shifts 1.08 | serrano 1.03 | counted 0.96 | vieira 0.87 | lusa 0.84 | goodling 0.82 | apportionment 0.82 | fairness 0.81 | slattery 0.81 | apportioned 0.8 | appropriation 0.8 | boncayao 0.8 | 258 0.8 | undercount 0.79 | personnal 0.79 | campaigner 0.79 | listing 0.78 | 
Topic 17:shahar 7.53 | givati 3.84 | helmet 2.0 | vilnai 1.96 | noriega 1.13 | golan 1.08 | reprimanded 1.07 | likud 1.07 | ahronot 1.06 | doron 1.06 | matan 1.06 | hazed 1.05 | reassignment 1.05 | maariv 1.04 | hazing 1.04 | eli 1.03 | yediot 1.02 | coup 0.77 | roused 0.74 | abrupt 0.72 | creeping 0.7 | president 0.65 | military 0.64 | government 0.55 | ugly 0.54 | rebels 0.51 | tuesday 0.5 | forces 0.5 | panama 0.48 | arms 0.47 | 
Topic 18:penney 15.79 | promotion 6.12 | merchandise 3.81 | featured 2.0 | retail 1.98 | mcmillan 1.96 | bloomingdale 1.95 | catalogue 1.95 | catching 1.8 | festival 1.73 | miller 1.63 | store 1.56 | stores 1.54 | renner 1.5 | tend 1.33 | customers 1.27 | military 1.21 | tastes 1.09 | prints 1.09 | centrally 1.09 | retailers 1.07 | apparel 1.06 | humdrum 1.06 | assortments 1.05 | doolittle 1.05 | neiman 1.05 | cosmopolitan 1.05 | woolens 1.05 | merchandising 1.05 | retailer 1.05 | 
Topic 19:military 0.44 | panama 0.39 | states 0.32 | intelligence 0.3 | drug 0.28 | percent 0.27 | coup 0.27 | world 0.26 | new 0.25 | 000 0.25 | united 0.25 | officials 0.24 | people 0.24 | thurman 0.23 | noriega 0.23 | housing 0.23 | forces 0.23 | president 0.22 | years 0.22 | rep 0.22 | webster 0.22 | power 0.22 | months 0.22 | rebels 0.22 | members 0.22 | face 0.22 | budget 0.21 | say 0.21 | million 0.21 | dependents 0.21 | 
