
Topic 1:force 0.51 | government 0.51 | air 0.5 | forces 0.45 | base 0.44 | official 0.43 | salvador 0.42 | military 0.42 | officials 0.41 | sawyer 0.41 | troops 0.41 | hotel 0.41 | bush 0.38 | american 0.38 | united 0.37 | states 0.37 | el 0.35 | rebels 0.32 | fitzwater 0.32 | administration 0.32 | spokesman 0.31 | state 0.31 | rouge 0.3 | salvadoran 0.3 | tuesday 0.29 | plane 0.29 | two 0.29 | president 0.28 | special 0.28 | soviet 0.28 | 
Topic 2:government 0.25 | two 0.24 | military 0.24 | soviet 0.21 | registration 0.21 | contra 0.21 | attacks 0.2 | rebels 0.2 | contras 0.19 | aid 0.19 | killed 0.18 | electoral 0.18 | general 0.18 | eight 0.17 | capital 0.17 | 15 0.17 | communist 0.17 | 1988 0.17 | monday 0.17 | ortega 0.17 | soldiers 0.16 | process 0.16 | officials 0.16 | say 0.16 | austria 0.16 | army 0.16 | sundays 0.16 | saturday 0.16 | sandinista 0.16 | top 0.16 | 
Topic 3:military 0.57 | government 0.45 | noriega 0.44 | air 0.32 | force 0.31 | plane 0.3 | opposition 0.28 | panama 0.27 | president 0.27 | south 0.27 | angola 0.26 | talks 0.26 | national 0.23 | forces 0.23 | dyess 0.23 | foreign 0.23 | states 0.22 | defense 0.22 | base 0.22 | boats 0.22 | crashed 0.22 | customs 0.22 | fuel 0.21 | officials 0.21 | made 0.21 | election 0.21 | lake 0.21 | ritter 0.21 | letter 0.21 | 000 0.21 | 
Topic 4:israeli 829.84 | israel 730.67 | army 513.28 | lebanon 506.59 | palestinian 345.09 | killed 301.0 | two 272.68 | police 271.42 | arab 248.91 | guerrillas 238.45 | wounded 232.89 | border 228.02 | palestinians 225.68 | south 217.47 | plo 213.46 | soldiers 203.67 | spokesman 194.26 | zone 187.68 | syrian 185.82 | security 176.31 | lebanese 169.79 | gaza 167.81 | west 165.16 | three 163.99 | attack 152.38 | bank 150.95 | arafat 144.46 | troops 143.53 | strip 139.47 | occupied 138.45 | 
Topic 5:customs 15.84 | fortin 12.03 | bay 10.64 | boats 9.73 | boat 9.51 | barge 8.55 | lake 8.43 | canadian 7.49 | boaters 6.93 | ducharme 6.89 | customers 6.79 | adkin 6.32 | albans 5.19 | quebec 5.17 | marina 5.16 | champlain 5.15 | floating 5.13 | canadians 4.95 | canada 3.83 | st 3.78 | agents 3.68 | afternoon 3.55 | moran 3.5 | alburg 3.49 | shallow 3.49 | dock 3.49 | logged 3.48 | barriere 3.47 | stop 3.45 | springs 3.37 | 
Topic 6:south 0.6 | african 0.42 | border 0.41 | government 0.41 | east 0.37 | angolan 0.33 | angola 0.32 | peace 0.31 | rebels 0.31 | area 0.28 | fighting 0.27 | troops 0.27 | africa 0.24 | agreement 0.24 | soldiers 0.24 | namibia 0.23 | miles 0.23 | military 0.22 | germany 0.22 | commission 0.22 | two 0.21 | nicaragua 0.21 | army 0.2 | national 0.2 | polish 0.2 | 000 0.2 | officials 0.19 | foreign 0.19 | nicaraguan 0.19 | thursday 0.19 | 
Topic 7:pardon 7.86 | menem 7.11 | galtieri 5.33 | firmenich 2.65 | viola 2.63 | videla 2.61 | admirals 2.29 | mayo 1.88 | negligence 1.55 | convicted 1.55 | gens 1.54 | quelled 1.29 | military 1.15 | subversion 0.98 | revolts 0.95 | 960 0.84 | lambruschini 0.83 | adms 0.83 | osvaldo 0.82 | riccheri 0.82 | stitch 0.82 | soviet 0.81 | massera 0.81 | ignominious 0.81 | hebe 0.81 | campo 0.8 | bonafini 0.8 | voids 0.8 | generals 0.78 | disciplinary 0.77 | 
Topic 8:government 0.43 | guerrillas 0.29 | groups 0.29 | guerrilla 0.26 | two 0.25 | forces 0.23 | attack 0.23 | based 0.22 | afghanistan 0.21 | group 0.2 | army 0.2 | east 0.2 | leaders 0.2 | police 0.19 | el 0.19 | british 0.19 | officials 0.19 | state 0.18 | military 0.18 | states 0.17 | shiite 0.17 | city 0.17 | camp 0.17 | killed 0.17 | blamed 0.17 | capital 0.17 | rebels 0.17 | soviet 0.17 | kabul 0.17 | iran 0.17 | 
Topic 9:desse 2.96 | southward 1.45 | meranya 1.43 | tigreans 0.78 | government 0.78 | assab 0.5 | talks 0.37 | afghanistan 0.35 | guerrillas 0.33 | peace 0.33 | commented 0.33 | penh 0.32 | rouge 0.31 | khmer 0.3 | junction 0.3 | guerrilla 0.28 | leaders 0.28 | rebels 0.28 | president 0.28 | afghan 0.27 | vietnamese 0.27 | 000 0.26 | fighting 0.26 | troops 0.26 | vorontsov 0.26 | groups 0.26 | army 0.26 | forces 0.25 | nairobi 0.25 | pakistan 0.25 | 
Topic 10:israel 0.33 | israeli 0.32 | government 0.28 | refugees 0.27 | miles 0.26 | 000 0.24 | officials 0.24 | arafat 0.24 | refugee 0.23 | tuesday 0.22 | two 0.22 | indian 0.21 | air 0.21 | military 0.21 | shamir 0.21 | united 0.2 | north 0.2 | soldiers 0.2 | palestinian 0.19 | palestinians 0.19 | killed 0.19 | minister 0.18 | force 0.18 | old 0.18 | arab 0.18 | letter 0.18 | camps 0.18 | army 0.18 | states 0.17 | conference 0.17 | 
Topic 11:global 17.47 | research 13.39 | irrigation 12.64 | postel 10.66 | earth 9.47 | climate 7.93 | change 6.48 | atmosphere 6.38 | nyers 5.79 | science 5.55 | growth 5.41 | systems 4.6 | clouds 4.59 | temperatures 4.56 | energy 4.56 | dioxide 4.43 | klerday 3.77 | investments 3.74 | activities 3.54 | irrigated 3.47 | effect 3.4 | environmental 3.4 | dynamics 3.36 | geological 3.34 | peck 3.28 | understand 3.18 | carbon 3.17 | changes 3.16 | understood 3.07 | water 3.07 | 
Topic 12:ditch 24.62 | mexican 22.31 | illegal 21.46 | mexico 17.11 | border 16.49 | diego 13.08 | patrol 12.11 | tijuana 11.66 | immigration 11.27 | immigrants 8.84 | concrete 8.28 | aliens 7.98 | mexicans 6.86 | drainage 6.63 | fences 6.15 | mesa 6.07 | salinas 5.85 | burns 5.83 | gregg 5.62 | ysidro 5.61 | metal 5.31 | smugglers 5.22 | otay 5.18 | ins 5.18 | fee 5.17 | fence 5.0 | san 4.81 | alien 4.76 | proposed 4.38 | barriers 4.15 | 
